condition,run,source_file,input_definition,segment,sample_count,MAE_mA,mean_error_mA,median_error_mA,positive_error_ratio
uart_256B_100ms,9,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run9.csv,pulse,inter_burst,1555553,1.346334138136388,0.7764260190861937,0.610546000000177,0.61531622516237
uart_256B_100ms,10,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run10.csv,occupancy,burst,444447,4.985738922836183,4.980991984405912,5.096945999999839,0.9992080045539738
uart_256B_100ms,10,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run10.csv,occupancy,final_idle,1000001,1.2624089703007435,0.7582706917271523,0.610546000000177,0.6384533615466385
uart_256B_100ms,10,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run10.csv,occupancy,idle_all,2000001,1.2309638014114561,0.6737863004102721,0.610546000000177,0.6125041937479031
uart_256B_100ms,10,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run10.csv,occupancy,initial_idle,1000000,1.199518601077001,0.5893018246090017,0.6105460000000065,0.586555
uart_256B_100ms,10,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run10.csv,occupancy,inter_burst,1555553,4.982555181685706,4.977190047546272,5.096945999999839,0.9991501414609467
uart_256B_100ms,10,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run10.csv,pulse,burst,444447,20.23525563088549,20.234627011782262,20.79262852949656,0.9995590025357354
uart_256B_100ms,10,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run10.csv,pulse,final_idle,1000001,1.262224212591836,0.7580488318313406,0.610546000000177,0.6384073615926384
uart_256B_100ms,10,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run10.csv,pulse,idle_all,2000001,1.2308714225108126,0.6736753704069012,0.610546000000177,0.6124811937594031
uart_256B_100ms,10,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run10.csv,pulse,initial_idle,1000000,1.199518601077001,0.5893018246090017,0.6105460000000065,0.586555
uart_256B_100ms,10,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run10.csv,pulse,inter_burst,1555553,1.2912159442693458,0.6191521836518683,0.610546000000177,0.5676264325291391
uart_512B_100ms,1,data/processed/v3_ppk/peripheral/uart_tx_only/uart_512B_100ms/aligned_uart_512B_100ms_uart_512B_100ms_run1.csv,occupancy,burst,888863,9.319048291126203,9.3182228097744,9.583345999999835,0.9997209918738883
uart_512B_100ms,1,data/processed/v3_ppk/peripheral/uart_tx_only/uart_512B_100ms/aligned_uart_512B_100ms_uart_512B_100ms_run1.csv,occupancy,final_idle,1000001,1.1939593918484792,0.594900260843256,0.610546000000177,0.5889204110795889
uart_512B_100ms,1,data/processed/v3_ppk/peripheral/uart_tx_only/uart_512B_100ms/aligned_uart_512B_100ms_uart_512B_100ms_run1.csv,occupancy,idle_all,2000001,1.1609998775729968,0.48300969478491224,0.6105460000000065,0.5530422234788882
